"","titulo","ano","citacoes"
"1","Scalable and low-latency data processing with stream mapreduce",2011,54
"2","Speculative out-of-order event processing with software transaction memory",2008,52
"3","Multithreading-enabled active replication for event stream processing operators",2009,28
"4","Low-overhead fault tolerance for high-throughput data processing systems",2011,27
"5","Minimizing latency in fault-tolerant distributed stream processing systems",2009,26
"6","Active replication at (almost) no cost",2011,22
"7","Comunicaçao Ethernet em Tempo-real para uma Rede de Microcontroladores",2004,18
"8","A germany-brazil experience report on teaching software engineering for electrical engineering undergraduate students",2006,15
"9","Scalable and elastic realtime click stream analysis using streammine3g",2014,10
"10","Data processing system and method",2005,10
"11","Predicting energy consumption with streammine3g",2014,8
"12","Lightweight privacy for smart metering data by adding noise",2014,8
"13","The study of a dynamic reconfiguration manager for systems-on-chip",2011,8
"14","Analysis of overhead and profitability in nested cloud environments",2012,6
"15","A highly-virtualising cloud resource broker",2012,6
"16","Low cost energy forecasting for smart grids using Stream Mine 3G and Amazon EC2",2014,4
"17","Assessing the impact of the social network on marking photos as favorites in flickr",2012,4
"18","Streammine",2010,4
"19","Optimistic parallelization support for event stream processing systems",2008,4
"20","A Technique to provide differential privacy for appliance usage in smart metering",2016,3
"21","Handling crash and software faults efficiently in distributed event stream processing",2010,3
"22","Delphus: Uma Ferramenta de Detecção de Falhas para Redes Locais",2003,3
"23","Real time data analysis of taxi rides using streammine3g",2015,2
"24","Defending against load monitoring in smart metering data through noise addition",2015,2
"25","Cloud resource recycling: an addition of species to the zoo of virtualised, overlaid, federated, multiplexed and nested clouds",2014,2
"26","StreamMine3G OneClick--Deploy and Monitor ESP Applications with a Single Click",2013,2
"27","Programando um subsistema sıncrono para suporte a mecanismos eficientes de tolerância a falhas",2004,2
"28","Enhancing fairness in P2P cloud federations",2016,1
"29","Real-time social network graph analysis using StreamMine3G",2016,1
"30","User-Constraint and Self-Adaptive Fault Tolerance for Event Stream Processing Systems",2015,1
"31","Incentivising Resource Sharing in Federated Clouds",2015,1
"32","Controlando a Contenç ao de Recursos para Promover Justiça em uma Federaç ao Peer-to-Peer de Nuvens Privadas",2015,1
"33","Lifting cloud infrastructure service consumers to providers",2012,1
"34","Improved event processing performance through parallel event transformation",2007,1
"35","A cheap and safe COTS wormhole for local area networks",2005,1
"36","Fast adaptable uniform consensus using global state digests",2004,1
"37","Enhancing P2P Cooperation through Transitive Indirect Reciprocity",2016,0
"38","DEBS Grand Challenge: Real Time Data Analysis of Taxi Rides using StreamMine3G",2015,0
"39","Optimizing resource utilization in private clouds with an opportunistic approach",2013,0
"40","Operating the Cloud from Inside Out",2013,0
"41","Energy Efficient Computing through Productivity-Aware Frequency Scaling",2012,0
"42","Speculation in Parallel and Distributed Event Processing Systems",2010,0
"43","Scheduling",2010,0
"44","A Speculation Framework for Event Stream Processing",2008,0
"45","Fast Adaptable Uniform Consensus Using Global State Digests",2005,0
"46","Trading cycles for information: Using replication to schedule bag-of-tasks applications on computational grids",2003,321
"47","OurGrid: An approach to easily assemble grids with equitable resource sharing",2003,307
"48","Labs of the world, unite!!!",2006,306
"49","Running bag-of-tasks applications on computational grids: The mygrid approach",2003,171
"50","Faults in grids: Why are they so bad and what can be done about it?",2003,149
"51","Exploiting replication and data reuse to efficiently schedule data-intensive applications on grids",2004,130
"52","Discouraging free riding in a peer-to-peer cpu-sharing grid",2004,129
"53","Grid computing for bag of tasks applications",2003,105
"54","On the efficacy, efficiency and emergent behavior of task replication in large distributed systems",2007,82
"55","Consensus in one communication step",2001,78
"56","Automatic grid assembly by promoting collaboration in peer-to-peer grids",2007,77
"57","Resource demand and supply in BitTorrent content-sharing communities",2009,70
"58","Implementing fail-silent nodes for distributed systems",1996,68
"59","Peercube: A hypercube-based p2p overlay robust against collusion and churn",2008,55
"60","Gridunit: software testing on the grid",2006,51
"61","Bridging the high performance computing gap: the ourgrid experience",2007,39
"62","Autoflex: Service agnostic auto-scaling framework for iaas deployment models",2013,37
"63","Learning Managemnt Systems: An Overview and Roadmap of the Systematic Application of Computers in Education",2007,35
"64","Scheduling in bag-of-task grids: The PAUÁ case",2004,35
"65","Eva: an event-based framework for developing specialised communication protocols",2001,32
"66","How Bad Are Wrong Suspicions? Towards Adaptive Distributed Protocols.",2003,30
"67","Volunteers' Engagement in Human Computation for Astronomy Projects",2014,29
"68","When can an autonomous reputation scheme discourage free-riding in a peer-to-peer system?",2004,29
"69","A reciprocation-based economy for multiple services in peer-to-peer grids",2006,28
"70","Using the computational grid to speed up software testing",2005,27
"71","Business-driven capacity planning of a cloud-based it infrastructure for the execution of web applications",2010,25
"72","TVGrid: A Grid Architecture to use the idle resources on a Digital TV network",2007,25
"73","Multi-environment software testing on the Grid",2006,25
"74","On the impact of energy-saving strategies in opportunistic grids",2010,24
"75","Contributor profiles, their dynamics, and their importance in five q&a sites",2013,22
"76","Long-term SLOs for reclaimed cloud computing resources",2014,21
"77","A case for event-driven distributed objects",2006,20
"78","Just in time clouds: Enabling highly-elastic public clouds over low scale amortized resources",2010,19
"79","E'Learing: Trends and Future Development",2007,19
"80","Analyzing the impact of elasticity on the profit of cloud computing providers",2013,17
"81","Investigating business-driven cloudburst schedulers for e-science bag-of-tasks applications",2010,16
"82","Improving automated testing of multi-threaded software",2008,16
"83","Communication, Coordination, and Cooperation in Computer-Supported Learning: the AulaNet Experience",2007,16
"84","Constructing fail-controlled nodes for distributed systems: a software approach",1995,16
"85","OddCI: on-demand distributed computing infrastructure",2009,15
"86","Scheduling cpu-intensive grid applications using partial information",2008,15
"87","A large scale fault-tolerant grid information service",2006,15
"88","Sandboxing for a free-to-join grid with support for secure site-wide storage area",2006,15
"89","Collaborative fault diagnosis in grids through automated tests",2006,15
"90","Accurate autonomous accounting in peer-to-peer grids",2005,15
"91","On the planning of a hybrid IT infrastructure",2008,14
"92","Adaptive indulgent consensus",2005,14
"93","Solving the group priority inversion problem in a timed asynchronous system",2002,14
"94","Assessing green strategies in peer-to-peer opportunistic grids",2013,13
"95","An approach for the co-existence of service and opportunistic grids: The eela-2 case",2008,13
"96","Business-driven short-term management of a hybrid IT infrastructure",2012,12
"97","NodeWiz: Fault-tolerant grid information service",2009,12
"98","Torrentlab: Investigating bittorrent through simulation and live experiments",2008,12
"99","Using remote memory to stabilise data efficiently on an EXT2 linux file system",2002,12
"100","Obtaining trustworthy test results in multi-threaded systems",2008,11
"101","Sistemas de gerenciamento de aprendizagem: uma metodologia de avaliação",2011,10
"102","Advances in computer-supported learning",2006,10
"103","Uma taxonomia para ambientes de aprendizagem suportados pela web",2002,10
"104","Avoiding priority inversion on the processing of requests by active replicated servers",2001,10
"105","Using a simple prioritisation mechanism to effectively interoperate service and opportunistic grids in the eela-2 e-infrastructure",2011,9
"106","Sobre a amplitude da elasticidade dos provedores atuais de computaç ao na nuvem",2011,9
"107","A Comparative Analysis of Computer-Suported Learning Models and Guidelines",2008,9
"108","Seljuk: Um ambiente para suporte ao desenvolvimento e à execução de aplicações distribuídas robustas",1997,8
"109","Analytical study of adversarial strategies in cluster-based overlays",2009,7
"110","The ourgrid approach for opportunistic grid computing",2009,7
"111","Um modelo de armazenamento de metadados tolerante a falhas para o DDGfs",2009,7
"112","On the efficiency and cost of introducing qos in bittorrent",2007,7
"113","Integrating computer-supported learning into traditional distance courses",2007,7
"114","A timeout-based message ordering protocol for a lightweight software implementation of tmr systems",2004,7
"115","Serviços para Tolerância a Faltas no Ambiente Operacional Seljuk-Amoeba",1997,7
"116","Dependability evaluation of cluster-based distributed systems",2011,6
"117","Predicting the quality of service of a peer-to-peer desktop grid",2010,6
"118","A reciprocation-based economy for multiple services in a computational grid",2009,6
"119","Adaptive sabotage-tolerant scheduling for peer-to-peer grids",2009,6
"120","Awareness design in online collaborative learning: A pedagogical perspective",2008,6
"121","Relative autonomous accounting for peer‐to‐peer Grids",2007,6
"122","Um algoritmo genético para otimizaçao do controle de redes de escoamento de petróleo",2005,6
"123","Um algoritmo genético para otimização do controle em tempo real de redes de escoamento de petróleo",2005,6
"124","Sistema computacional para o monitoramento e controle em tempo real de redes de escoamento",2004,6
